pair_id,r_case_number,c_case_number,r_company_name,c_company_name,r_state,r_city,c_state,c_city,r_date_filed,r_date_closed,c_date_filed,label,notes
1,14-RC-012142,14-CA-025951,St. Anthony's Medical Center H,St. Anthony's Medical Center,MO,St. Louis,MO,St. Louis,22/02/2000,26/05/2000,01/03/2000,match,
2,21-RC-020971,21-CA-038226,United Stationers Supply Compa,"United Stationers Supply Company, Inc.",CA,City of Industry,CA,City of Industry,04/06/2007,02/06/2008,13/02/2008,match,
3,29-RC-007429,29-CA-015602,CROWN NURSING HOME,Carlton Nursing Home,NY,BROOKLYN,NY,BROOKLYN,06/09/1989,22/09/1992,21/03/1991,no_match,
4,33-RC-004306,33-CA-013047,AGGREGATE EQUIPMENT & SUPPLY,"BET Services Inc. d/b/a Aggregate Equipment & Supply, Inc.",IL,East Peoria,IL,East Peoria,08/06/1998,22/02/2002,07/07/1999,match,
5,22-RC-010942,22-CA-020025,"MEADOWLANDS HOSPITAL ,MEDICAL CNTR.",MEADOWLANDS HOSP. MEDICAL CTR.,NJ,SECAUCUS,NJ,SECAUCUS,19/04/1994,02/08/1994,13/07/1994,match,
6,12-RC-008126,12-CA-018914,MED.TRANS. MGMT DBA AMC MEDICAL TRANSPORTATION,MEDICAL TRANSP.MGMT.CORP.D/B/A AMC MEDICAL TRANSP.,FL,MIAMI,FL,MIAMI,09/07/1997,21/07/1998,24/07/1997,match,
7,31-RC-006948,31-CA-019527,GOLDEN EMPIRE CONCRETE,GOLDEN EMPIRE READY MIX,CA,BAKERSFIELD,CA,BAKERSFIELD,27/05/1992,03/08/1993,24/08/1992,match,
8,26-RC-007476,26-CA-015246,HIMOLENE INCOPRORATED,HIMOLENE INCORPORATED,MS,SHANNON,MS,SHANNON,13/08/1992,16/02/1993,17/09/1992,match,
9,08-RC-016448,08-CA-033670,Firelands Regional Medical Cen,Firelands Regional Medical Center,OH,Sandusky,OH,Sandusky,22/08/2002,28/01/2003,11/09/2002,match,
10,31-RC-005945,31-CA-015352,HYDRO-AIRE,HYDRO-IRE,CA,BURBANK,CA,BURBANK,16/09/1985,30/09/1986,15/10/1985,match,
11,06-RC-010002,04-CA-017307,KRAVCO MAINTENANCE CO.,KRAVCO,PA,KING OF PRUSSIA,PA,KING OF PRUSSIA,11/04/1988,14/06/1988,19/04/1988,match,
12,21-RC-021118,21-CA-039179,Southern California Permanente,"Kaiser Permanente, et al.",CA,Anaheim,CA,Anaheim,27/02/2009,03/02/2010,31/12/2009,match,
13,04-RC-166984,04-CA-174180,Bethlehem Haulage LLC,"Bethlehem Haulage and C&S Wholesale Grocers, a single Employer",PA,Bethlehem,PA,Bethlehem,04/01/2016,12/05/2016,15/04/2016,match,
14,20-RC-125560,20-CA-126526,Securitas USA,"Securitas Security Services USA, Inc.",HI,HONOLULU,HI,Honolulu,31/03/2014,19/05/2014,14/04/2014,match,
15,16-RC-009049,16-CA-013609,"BAYOU CONTRACTING, INC.",BAYOU CONSTRUCTION CO.,TX,BEAUMONT,TX,BEAUMONT,08/06/1988,20/07/1988,22/06/1988,match,
16,13-RC-020395,13-CA-038677,R.J. Corman Material Handling Division,R.J. Corman Railroad Company/Material Sales,IN,Gary,IN,Gary,30/06/2000,03/01/2003,06/07/2000,match,
17,32-RC-004169,32-CA-015551,MICKEY GROVE\LABORERS,MICKEY GROVE GOLF LINKS\LABORERS,CA,LODI,CA,LODI,07/06/1996,21/08/1996,09/07/1996,match,
18,20-RC-017713,20-CA-030455,Sacramento Recycling and Trans,Sacramento Recycling & Transfer Station,CA,Sacramento,CA,Sacramento,14/11/2001,02/08/2002,27/11/2001,match,
19,06-RC-012057,06-CA-032629,"Howard E. Stuber, Inc.        ",H. E. Stuber Incorporated,PA,Rochester,PA,Rochester,22/02/2002,23/04/2002,20/03/2002,match,
20,37-RC-002871,37-CA-002453,"PHT, INC. POLYNESIAN HOSPITALITY TOURS","POLYNESIAN HOSPITAL TOURS, PHT, INC. D/B/",HI,HONOLULU,HI,HONOLULU,22/10/1986,28/02/1994,21/11/1986,match,
