pair_id,source_cell,stratum,cluster_size,fuzzy_score,match_method
1,fuzzy_only,score_90_100,,96.2962962962963,fuzzy
2,agreement,agreement,,88.88888888888889,fuzzy
3,fuzzy_only,score_82_90,,89.47368421052632,fuzzy
4,fuzzy_only,score_82_90,,82.1917808219178,fuzzy
5,fuzzy_only,score_90_100,,91.80327868852459,fuzzy
6,cluster_only,cluster_size_le5,4.0,100.0,exact
7,cluster_only,cluster_size_le5,3.0,100.0,exact
8,cluster_only,cluster_size_le5,3.0,100.0,exact
9,agreement,agreement,,95.23809523809523,fuzzy
10,fuzzy_only,score_90_100,,94.73684210526316,fuzzy
11,cluster_only,cluster_size_gt5,8.0,100.0,exact
12,cluster_only,cluster_size_gt5,62.0,100.0,exact
13,cluster_only,cluster_size_gt5,9.0,100.0,exact
14,cluster_only,cluster_size_gt5,20.0,100.0,exact
15,fuzzy_only,score_82_90,,85.71428571428572,fuzzy
16,cluster_only,cluster_size_gt5,14.0,100.0,exact
17,cluster_only,cluster_size_le5,2.0,100.0,exact
18,agreement,agreement,,84.50704225352112,fuzzy
19,cluster_only,cluster_size_le5,3.0,100.0,exact
20,agreement,agreement,,89.23076923076923,fuzzy
21,cluster_only,cluster_size_gt5,97.0,100.0,exact
22,agreement,agreement,,86.66666666666667,fuzzy
23,fuzzy_only,score_90_100,,90.9090909090909,fuzzy
24,fuzzy_only,score_82_90,,82.85714285714285,fuzzy
25,cluster_only,cluster_size_le5,4.0,100.0,exact
26,agreement,agreement,,87.09677419354838,fuzzy
27,fuzzy_only,score_82_90,,86.66666666666667,fuzzy
28,agreement,agreement,,92.3076923076923,fuzzy
29,agreement,agreement,,87.27272727272728,fuzzy
30,fuzzy_only,score_90_100,,92.3076923076923,fuzzy
31,cluster_only,cluster_size_gt5,69.0,100.0,exact
32,agreement,agreement,,95.45454545454545,fuzzy
33,fuzzy_only,score_90_100,,93.33333333333333,fuzzy
34,cluster_only,cluster_size_gt5,14.0,100.0,exact
35,agreement,agreement,,85.1063829787234,fuzzy
36,fuzzy_only,score_90_100,,94.73684210526316,fuzzy
37,agreement,agreement,,85.18518518518519,fuzzy
38,cluster_only,cluster_size_le5,3.0,100.0,exact
39,cluster_only,cluster_size_le5,4.0,100.0,exact
40,cluster_only,cluster_size_le5,4.0,100.0,exact
41,fuzzy_only,score_90_100,,91.42857142857143,fuzzy
42,fuzzy_only,score_82_90,,83.33333333333334,fuzzy
43,fuzzy_only,score_90_100,,90.0,fuzzy
44,cluster_only,cluster_size_le5,3.0,100.0,exact
45,cluster_only,cluster_size_gt5,6.0,100.0,exact
46,agreement,agreement,,98.36065573770492,fuzzy
47,fuzzy_only,score_90_100,,92.85714285714286,fuzzy
48,fuzzy_only,score_82_90,,85.1063829787234,fuzzy
49,cluster_only,cluster_size_le5,2.0,100.0,exact
50,agreement,agreement,,100.0,fuzzy
51,fuzzy_only,score_90_100,,93.10344827586206,fuzzy
52,cluster_only,cluster_size_gt5,45.0,100.0,exact
53,cluster_only,cluster_size_gt5,102.0,100.0,exact
54,fuzzy_only,score_90_100,,95.65217391304348,fuzzy
55,fuzzy_only,score_90_100,,91.42857142857143,fuzzy
56,fuzzy_only,score_82_90,,82.92682926829268,fuzzy
57,cluster_only,cluster_size_gt5,19.0,100.0,exact
58,cluster_only,cluster_size_le5,4.0,100.0,exact
59,cluster_only,cluster_size_le5,2.0,100.0,exact
60,cluster_only,cluster_size_gt5,24.0,100.0,exact
61,cluster_only,cluster_size_gt5,50.0,100.0,exact
62,cluster_only,cluster_size_le5,3.0,100.0,exact
63,fuzzy_only,score_90_100,,94.54545454545455,fuzzy
64,fuzzy_only,score_82_90,,82.92682926829268,fuzzy
65,fuzzy_only,score_90_100,,90.9090909090909,fuzzy
66,cluster_only,cluster_size_le5,3.0,100.0,exact
67,cluster_only,cluster_size_gt5,11.0,100.0,exact
68,fuzzy_only,score_90_100,,90.0,fuzzy
